ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20831,HW203311,03/22/2013 09:20:00 PM,006XX N 600,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1122,011,27,23,01A,1151903,1903821,2013,03/26/2013 06:45:42 AM,41.89195804105567,-87.7175791932063,"(41.89195804105567, -87.7175791932063)"
20827,HW197695,03/18/2013 08:24:00 PM,048XX N DRAKE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1712,017,39,14,01A,1151802,1932041,2013,03/20/2013 07:28:43 AM,41.96939804539706,-87.71720535709564,"(41.96939804539706, -87.71720535709564)"
20828,HW192261,03/18/2013 07:03:00 PM,0000X W 91ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,TAXI CAB,true,false,0634,006,21,49,01A,1177548,1844603,2013,04/01/2013 09:34:40 AM,41.728914958228785,-87.62518904703022,"(41.728914958228785, -87.62518904703022)"
20826,HW196147,03/18/2013 11:40:00 AM,028XX S SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1032,010,22,30,01A,1154867,1884909,2013,04/05/2013 08:38:51 AM,41.84000258063917,-87.70720025014661,"(41.84000258063917, -87.70720025014661)"
20825,HW195075,03/16/2013 08:23:00 PM,024XX W 58TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0824,008,16,63,01A,1160973,1866177,2013,04/05/2013 08:38:23 AM,41.78847536624486,-87.6853120666754,"(41.78847536624486, -87.6853120666754)"
20824,HW194557,03/16/2013 12:13:00 PM,003XX E 314,0110,HOMICIDE,FIRST DEGREE MURDER,CTA  L  PLATFORM,true,false,0213,002,3,38,01A,1178941,1876608,2013,04/05/2013 08:42:25 AM,41.816708442561975,-87.61911254308282,"(41.816708442561975, -87.61911254308282)"
20823,HW187672,03/12/2013 06:00:00 AM,065XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0321,003,20,42,01A,1182984,1861608,2013,03/13/2013 07:43:07 AM,41.77545401648723,-87.60474835922103,"(41.77545401648723, -87.60474835922103)"
20822,HW184145,03/08/2013 04:34:00 PM,019XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0414,004,8,46,01A,1190710,1852941,2013,04/01/2013 09:38:52 AM,41.751487950671525,-87.57670563491719,"(41.751487950671525, -87.57670563491719)"
20819,HW181865,03/06/2013 09:15:00 PM,013XX N ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1422,014,26,23,01A,1152737,1909011,2013,03/13/2013 07:45:42 AM,41.90618343655798,-87.7143787434911,"(41.90618343655798, -87.7143787434911)"
20818,HW176064,03/02/2013 04:00:00 AM,004XX E 454,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,true,false,0633,006,9,49,01A,1181170,1842127,2013,04/06/2013 06:28:20 AM,41.72203797652539,-87.6119969133209,"(41.72203797652539, -87.6119969133209)"
20817,HW174518,03/01/2013 10:17:00 PM,077XX S PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0834,008,13,70,01A,1151016,1853047,2013,04/05/2013 08:37:23 AM,41.75264466253536,-87.72216319391912,"(41.75264466253536, -87.72216319391912)"
20810,HW168342,02/24/2013 07:35:00 AM,001XX S 118,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,1533,015,28,25,01A,1144371,1898985,2013,03/11/2013 10:41:18 AM,41.878832477051205,-87.74536289214177,"(41.878832477051205, -87.74536289214177)"
20809,HW167787,02/23/2013 06:18:00 PM,048XX W FERDINAND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1532,015,28,25,01A,1144042,1902932,2013,04/08/2013 06:36:24 AM,41.88966969578394,-87.7464718220519,"(41.88966969578394, -87.7464718220519)"
20806,HW163948,02/20/2013 05:35:00 PM,081XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0631,006,8,44,01A,1183352,1851443,2013,02/27/2013 07:35:43 AM,41.747551680422,-87.60371539050053,"(41.747551680422, -87.60371539050053)"
20807,HW163948,02/20/2013 05:35:00 PM,081XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0631,006,8,44,01A,1183352,1851443,2013,02/27/2013 07:35:51 AM,41.747551680422,-87.60371539050053,"(41.747551680422, -87.60371539050053)"
