Location,Year,Total - All Types,Infectious and Parasitic Diseases,Neoplasms,"Endocrine, Nutritional and Metabolic Diseases, and Immunity Disorders",Diseases of the Blood and Blood-Forming Organs,"Psychotic Conditions, Other Psychoses, Disorders, and Intellectual Disabilities","Alcohol-Induced Disorders, Drug-Induced Disorders, Alcohol or Drug Dependence",Diseases of the Nervous System and Sense Organs,Diseases of the Circulatory System,Diseases of the Respiratory System,Diseases of the Digestive System,Diseases of the Genitourinary System,"Complications of Pregnancy, Childbirth, and the Puerperium",Diseases of the Skin and Subcutaneous Tissue,Diseases of the Musculoskeletal System and Connective Tissue,Congenital Anomalies,Certain Conditions Originating in the Perinatal Period,"Symptoms, Signs, and Ill-Defined Conditions",Injury and Poisoning,Not Coded,
CHICAGO,2012,"1,590,705","41,421","50,611","31,135","10,544","45,796","5,862","93,844","52,681","141,742","92,604","100,224","54,054","50,821","140,513","6,391","1,673","287,703","231,233","151,853",
"60601,60602,60603,60604,60605 & 60611",2012,"24,718",374,"1,499",547,133,850,109,"1,640",901,"1,264","1,320","1,545",492,772,"2,516",142,29,"4,551","3,571","2,463",*
"60606,60607 & 60661",2012,"15,764",431,530,268,74,601,141,785,400,"1,196",956,987,526,631,"1,402",86,19,"2,960","2,104","1,667",
60608,2012,"38,109","1,208",870,737,201,"1,126",126,"2,356",959,"3,568","2,537","2,262","1,409","1,340","3,100",163,39,"6,940","5,861","3,307",
60609,2012,"36,898","1,168",943,648,175,"1,098",124,"2,243","1,090","3,481","2,202","2,236","1,711","1,259","2,933",122,34,"6,769","5,553","3,109",
60610 & 60654,2012,"21,287",365,"1,004",373,124,831,139,"1,227",690,"1,341","1,169","1,215",510,684,"2,096",106,31,"4,106","3,378","1,898",
60612,2012,"29,825",898,476,528,171,"1,183",286,"1,525",754,"3,124","1,595","1,647","1,106","1,135","2,475",64,20,"5,846","4,278","2,714",
60613,2012,"18,665",328,735,339,90,626,100,"1,025",548,"1,213","1,120","1,112",552,528,"1,941",101,22,"3,327","3,075","1,883",
60614,2012,"21,734",303,"1,122",418,110,733,122,"1,137",604,"1,194","1,272","1,237",491,619,"2,231",175,49,"3,832","3,920","2,165",
60615,2012,"33,800",965,"1,524",934,263,"1,354",62,"1,881","1,637","2,318","1,407","2,149",770,"1,475","3,096",146,36,"5,866","3,527","4,390",
60616,2012,"21,569",507,973,448,149,634,42,"1,332",896,"1,659","1,290","1,385",666,718,"1,933",79,23,"4,197","2,852","1,786",
60617,2012,"61,617","1,793","2,286","1,527",476,"1,279",104,"3,980","2,566","5,924","3,067","4,127","2,022","2,071","5,507",172,47,"9,976","8,369","6,324",
60618,2012,"42,244",863,"1,493",650,186,"1,235",164,"2,582","1,051","3,403","2,702","2,507","1,671","1,116","3,641",276,82,"7,671","6,906","4,045",
60619,2012,"55,092","1,622","1,999","1,484",479,"1,229",165,"3,036","2,747","4,907","2,640","3,543","1,608","1,947","5,316",118,32,"9,644","6,795","5,781",
60620,2012,"57,743","1,578","1,854","1,473",757,"1,399",107,"3,253","2,601","5,334","3,015","3,807","1,817","2,004","5,311",113,38,"10,244","7,529","5,509",
60621,2012,"32,270","1,032",659,588,195,892,276,"1,682","1,227","3,497","1,583","2,113","1,284","1,164","2,597",71,43,"6,391","4,427","2,549"
60623,2012,"54,019","2,027",808,819,420,"1,580",156,"3,457","1,043","5,884","3,179","3,503","2,397","1,778","3,971",223,62,"10,034","7,568","5,110"
60624,2012,"37,412","1,255",524,547,257,"1,030",137,"2,088",964,"4,619","1,950","2,270","1,546","1,428","3,059",80,29,"7,193","5,368","3,068"
60625,2012,"34,570",671,"1,086",582,195,"1,210",260,"2,154",936,"2,542","2,168","2,175","1,258",996,"3,110",223,57,"6,412","5,458","3,077"
60626,2012,"27,716",702,731,545,219,"1,007",111,"1,494",750,"2,479","1,710","1,663","1,208",765,"2,350",123,22,"5,014","4,469","2,354"
60628,2012,"54,123","1,402","1,995","1,395",447,"1,089",86,"3,148","2,445","5,320","2,972","3,466","1,553","1,941","5,062",113,55,"9,187","6,908","5,539"
60629,2012,"64,237","2,081","1,549","1,002",421,"1,813",275,"4,009","1,781","6,076","3,866","4,246","2,651","2,047","5,080",276,88,"11,261","9,858","5,857"
60630,2012,"26,312",373,"1,097",436,135,707,109,"1,633",778,"1,672","1,711","1,718",697,592,"2,699",138,17,"4,771","4,127","2,902"
60631,2012,"15,860",135,796,277,97,368,51,943,600,648,967,"1,025",228,291,"1,847",*,*,"2,737","2,421","2,352"
60632,2012,"39,813","1,398","1,028",561,164,893,92,"2,692",850,"3,851","2,648","2,421","1,864","1,209","2,907",258,68,"6,993","6,046","3,870"
60634,2012,"38,743",660,"1,467",738,161,"1,183",139,"2,400","1,244","2,608","2,656","2,461","1,045",964,"3,717",194,34,"6,942","6,018","4,112"
60636,2012,"35,565","1,098",832,775,267,"1,100",178,"2,066","1,285","3,945","1,761","2,284","1,299","1,342","2,934",66,37,"6,241","5,184","2,871"
60637,2012,"47,923","1,558","1,728","1,228",532,"1,681",248,"2,608","2,114","4,036","2,075","3,035","1,409","2,042","4,182",146,31,"8,707","5,639","4,924"
60638,2012,"28,830",522,"1,308",521,141,580,107,"1,757","1,033","1,931","1,862","1,888",892,696,"3,135",102,20,"4,824","4,398","3,113"
60639,2012,"56,608","1,711","1,144",884,288,"1,364",121,"3,574","1,274","6,272","3,784","3,540","2,446","1,694","4,241",271,79,"10,926","8,508","4,487"
60640,2012,"35,799",757,"1,153",633,217,"1,620",292,"2,132","1,031","2,772","2,266","1,961","1,019",969,"3,516",140,45,"6,695","5,089","3,492"
60641,2012,"38,290",910,"1,170",546,133,"1,256",147,"2,399","1,014","3,343","2,593","2,464","1,388",993,"3,111",228,49,"6,998","6,024","3,524"
60622 & 60642,2012,"33,161",729,919,524,126,"1,489",221,"1,704",927,"2,815","2,224","2,094",990,"1,003","2,707",226,50,"5,874","6,062","2,477"
60643,2012,"36,512",778,"1,657",881,245,673,88,"2,205","1,673","3,006","2,106","2,353",882,"1,156","3,608",101,28,"6,291","4,878","3,903"
60644,2012,"50,062","1,665",926,796,320,"1,477",157,"2,834","1,415","6,209","2,910","3,114","1,877","1,857","4,003",85,51,"9,193","7,104","4,069"
60645,2012,"24,018",498,705,474,173,649,61,"1,540",688,"2,001","1,594","1,526","1,014",611,"2,003",146,21,"4,361","3,848","2,105"
60646,2012,"12,911",137,712,268,64,289,*,778,435,649,831,770,242,231,"1,348",69,*,"2,180","2,109","1,755"
60647,2012,"45,966","1,169","1,098",730,190,"1,472",122,"2,638","1,067","4,333","3,120","3,044","1,781","1,342","3,530",249,53,"8,840","7,573","3,615"
60649,2012,"38,777","1,201","1,265","1,070",367,819,67,"2,325","1,867","3,849","1,942","2,641","1,240","1,413","3,609",99,23,"6,649","4,538","3,793"
60651,2012,"55,255","1,617","1,092",906,359,"1,409",112,"3,091","1,538","6,901","3,142","3,484","2,107","2,008","4,205",150,42,"10,441","8,289","4,362"
60652,2012,"24,210",595,943,524,172,460,30,"1,356",922,"1,796","1,396","1,539",795,694,"2,417",71,17,"4,250","3,351","2,882"
60653,2012,"26,392",728,814,656,217,668,55,"1,364","1,222","2,554","1,347","1,680",760,976,"2,408",75,21,"5,299","3,195","2,353"
60655,2012,"14,446",186,817,326,70,260,*,793,532,698,862,953,359,268,"1,655",71,14,"2,154","2,283","2,127"
60656,2012,"13,763",164,611,251,84,270,48,803,463,726,906,912,304,273,"1,537",*,*,"2,528","2,087","1,723"
60657,2012,"22,809",317,955,445,108,894,164,"1,215",690,"1,291","1,320","1,305",642,595,"2,297",215,43,"4,077","3,967","2,269"
60659,2012,"19,048",404,700,371,161,486,36,"1,255",514,"1,485","1,279","1,163",751,446,"1,676",103,23,"3,549","3,024","1,622"
60660,2012,"19,064",362,714,320,159,708,48,"1,206",635,"1,373","1,218","1,231",572,525,"1,748",65,13,"3,577","2,712","1,878"
60633,2012,"7,156",176,300,142,52,222,*,499,280,635,364,423,203,213,746,30,*,"1,185",985,678
