Physician Types by Zip Code,,,,,,,2007 total Estimated Population,Primary Care physicians,Specialist physicians,OB-GYN physicians,"Primary Care physicans, federal","Specialist physicians, federal","OB-GYN physcians, federal","primary care physcians, non-federal","specialist physcians, non-federal","OH-GYN physicians, non-federal",Primary Care physicans; clinicall active; IMG,specials; clinicall active; IMG,OH-GYN; clinically acgive; IMG,primary care physicians; clinically active,specialist; clinically active; CMG,OB_GYN; clinicall active; CMG,Primary Care Physcians; Clinicall active; non-IMG,Specialis; clinicall acgtive; non-IMG,OB-GYN; clicincally active; non-IMG,Primary Care physcians <M age 50,specialist physicians < age 50,OB-GYN physicians < age 50,primary care physicians >= age 50,specialist physicians >= age 50,)B-GYN physicians >= age 50,female primare care physicians,females specialist physicians,female B_GYN physicians,Male primare care physicians,male specialist physicians,male OB-GYN physicians,Primary Care Residentsa and fellows,specialist residents and fellows,OB-GYN Residents and fellows,2007 Total estimated civilian population,"MRSA MUA/HPA prim FTEs, non-federal","HRSA MUA/HPSA PRIM + 0.5 semi-retired FTEs, non-federal"
ZCTA,ZCTA_L,ZFIPS_ST,ZCTA_ST,ZCTAXX,PCSA,PCSA_L,Z_POP07,ZG_DOC,ZS_DOC,ZO_DOC,ZG_FEDDOC,ZS_FEDDOC,ZO_FEDDOC,ZG_NFEDDOC,ZS_NFEDDOC,ZO_NFEDDOC,ZG_IMG,ZS_IMG,ZO_IMG,ZG_CMG,ZS_CMG,ZO_CMG,ZG_NIMG,ZS_NIMG,ZO_NIMG,ZG_LT50DOC,ZS_LT50DOC,ZO_LT50DOC,ZG_GT50DOC,ZS_GT50DOC,ZO_GT50DOC,ZG_F_DOC,ZS_F_DOC,ZO_F_DOC,ZG_M_DOC,ZS_M_DOC,ZO_M_DOC,ZG_RESDOC,ZS_RESDOC,ZO_RESDOC,ZCIVIL_07,Z_PRIM4,Z_PRIM4RET
60613,CHICAGO,17,IL,0.0000,60625,IL09_CHICAGO,47841.0,45.0,43.0,6.0,1.0,0.0,0.0,44.0,43.0,6.0,33.0,21.0,1.0,0.0,0.0,0.0,12.0,22.0,5.0,13.0,18.0,2.0,32.0,25.0,4.0,17.0,11.0,2.0,28.0,32.0,4.0,20.0,37.0,4.0,47478.0,52.6,53.1
60614,CHICAGO,17,IL,0.0000,60657,IL12_CHICAGO,62376.0,149.0,268.0,13.0,0.0,3.0,0.0,149.0,265.0,13.0,37.0,61.0,8.0,0.0,2.0,0.0,112.0,207.0,5.0,101.0,159.0,5.0,48.0,109.0,8.0,89.0,127.0,9.0,60.0,141.0,4.0,54.0,127.0,6.0,59485.0,170.1,170.6
60615,CHICAGO,17,IL,0.0000,60637,IL11_CHICAGO,43613.0,51.0,66.0,10.0,0.0,0.0,0.0,51.0,66.0,10.0,13.0,23.0,1.0,1.0,0.0,0.0,38.0,43.0,9.0,32.0,42.0,8.0,19.0,24.0,2.0,29.0,26.0,6.0,22.0,40.0,4.0,17.0,28.0,2.0,42226.0,63.4,63.4
60616,CHICAGO,17,IL,0.0000,60616,IL04_CHICAGO,49853.0,128.0,181.0,21.0,1.0,2.0,0.0,127.0,179.0,21.0,79.0,64.0,4.0,0.0,0.0,0.0,49.0,117.0,17.0,84.0,71.0,11.0,44.0,110.0,10.0,53.0,54.0,12.0,75.0,127.0,9.0,114.0,52.0,8.0,47389.0,161.0,161.5
60617,CHICAGO,17,IL,0.0000,60617,IL05_CHICAGO,89417.0,65.0,58.0,11.0,1.0,0.0,0.0,64.0,58.0,11.0,32.0,29.0,2.0,1.0,0.0,0.0,33.0,29.0,9.0,28.0,18.0,3.0,37.0,40.0,8.0,27.0,15.0,5.0,38.0,43.0,6.0,0.0,1.0,0.0,89408.0,75.3,75.8
60618,CHICAGO,17,IL,0.0000,60657,IL12_CHICAGO,98088.0,36.0,28.0,7.0,0.0,0.0,0.0,36.0,28.0,7.0,28.0,14.0,4.0,0.0,0.0,0.0,8.0,14.0,3.0,12.0,11.0,2.0,24.0,17.0,5.0,15.0,14.0,3.0,21.0,14.0,4.0,12.0,21.0,2.0,97853.0,43.7,43.7
60619,CHICAGO,17,IL,0.0000,60637,IL11_CHICAGO,71870.0,22.0,19.0,5.0,0.0,1.0,0.0,22.0,18.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,16.0,18.0,4.0,7.0,7.0,1.0,15.0,12.0,4.0,10.0,6.0,1.0,12.0,13.0,4.0,0.0,1.0,0.0,71861.0,27.2,27.2
60620,CHICAGO,17,IL,0.0000,60621,IL06_CHICAGO,80228.0,12.0,9.0,2.0,0.0,0.0,0.0,12.0,9.0,2.0,9.0,5.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,3.0,0.0,10.0,6.0,2.0,5.0,1.0,0.0,7.0,8.0,2.0,1.0,0.0,0.0,79980.0,14.1,14.1
60621,CHICAGO,17,IL,0.0000,60621,IL06_CHICAGO,43696.0,24.0,21.0,5.0,0.0,0.0,0.0,24.0,21.0,5.0,20.0,17.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,3.0,0.0,16.0,18.0,5.0,13.0,5.0,2.0,11.0,16.0,3.0,1.0,0.0,0.0,43209.0,28.8,28.8
60622,CHICAGO,17,IL,0.0000,60622,IL07_CHICAGO,80414.0,115.0,114.0,16.0,1.0,0.0,0.0,114.0,114.0,16.0,85.0,66.0,11.0,0.0,0.0,0.0,30.0,48.0,5.0,61.0,40.0,5.0,54.0,74.0,11.0,54.0,30.0,5.0,61.0,84.0,11.0,83.0,89.0,5.0,80255.0,138.8,138.8
60623,CHICAGO,17,IL,0.0000,60623,IL08_CHICAGO,104997.0,44.0,46.0,12.0,0.0,0.0,0.0,44.0,46.0,12.0,25.0,27.0,6.0,2.0,0.0,0.0,19.0,19.0,6.0,28.0,18.0,4.0,16.0,28.0,8.0,17.0,14.0,3.0,27.0,32.0,9.0,0.0,3.0,0.0,103418.0,55.2,55.2
60624,CHICAGO,17,IL,0.0000,60612,IL03_CHICAGO,43448.0,29.0,22.0,8.0,0.0,0.0,0.0,29.0,22.0,8.0,13.0,9.0,1.0,0.0,0.0,0.0,16.0,13.0,7.0,16.0,9.0,4.0,13.0,13.0,4.0,8.0,5.0,3.0,21.0,17.0,5.0,1.0,0.0,0.0,43143.0,37.2,37.2
