Community Area Id,Community Area Name,All Uninsured,By Age: 0 to 17 Uninsured,By Age: 18 to 64 Uninsured,By Age: 65 and over Uninsured,By Race: White Uninsured,By Race: Latino Uninsured,By Race: Black Uninsured,By Race: Asian Uninsured,By Nativity: Native-Born Uninsured,By Nativity: Foreign-Born Uninsured,By Nativity: Foreign-Born Citizen Uninsured,By Nativity: Foreign-Born Noncitizen Uninsured,By School Enrollment: 19 to 25 Uninsured,By School Enrollment: Enrolled 19 to 25 Uninsured,By School Enrollment: Not enrolled 19 to 25 Uninsured,By Income: Under 138% of Poverty Line Uninsured,By Income: 138 to 199% of Poverty Line Uninsured,By Income: 200 to 399% of Poverty Line Uninsured,By Income: 400% and over Poverty Line Uninsured
60,Bridgeport,0.217,0.058,0.295,0.023,0.145,0.232,0.220,0.282,0.153,0.341,0.211,0.492,0.398,0.293,0.496,0.260,0.326,0.240,0.087
61,New City,0.288,0.054,0.437,0.052,0.144,0.353,0.254,0.071,0.191,0.530,0.220,0.612,0.571,0.398,0.628,0.322,0.347,0.247,0.134
62,West Elsdon,0.251,0.052,0.367,0.080,0.191,0.263,0.236,0.258,0.150,0.404,0.226,0.505,0.526,0.419,0.595,0.335,0.278,0.194,0.186
63,Gage Park,0.340,0.101,0.493,0.079,0.126,0.348,0.390,0.378,0.189,0.517,0.236,0.601,0.598,0.456,0.650,0.399,0.360,0.273,0.229
64,Clearing,0.150,0.081,0.208,0.000,0.103,0.192,0.152,0.446,0.112,0.283,0.116,0.417,0.312,0.361,0.279,0.342,0.243,0.142,0.049
65,West Lawn,0.223,0.070,0.325,0.060,0.113,0.253,0.137,0.011,0.124,0.398,0.173,0.521,0.453,0.416,0.470,0.315,0.257,0.191,0.098
66,Chicago Lawn,0.246,0.049,0.381,0.050,0.209,0.314,0.194,0.592,0.178,0.498,0.134,0.623,0.493,0.365,0.532,0.269,0.297,0.218,0.157
67,West Englewood,0.252,0.069,0.388,0.014,0.040,0.384,0.253,0.000,0.248,0.413,0.095,0.576,0.481,0.473,0.484,0.274,0.261,0.236,0.150
68,Englewood,0.206,0.062,0.319,0.026,0.130,0.183,0.205,0.529,0.204,0.468,0.496,0.400,0.428,0.326,0.491,0.219,0.223,0.188,0.125
69,Greater Grand Crossing,0.201,0.058,0.310,0.009,0.078,0.236,0.199,0.000,0.201,0.212,0.194,0.235,0.448,0.380,0.478,0.225,0.251,0.186,0.130
70,Ashburn,0.151,0.030,0.225,0.006,0.135,0.231,0.110,0.079,0.121,0.328,0.140,0.494,0.341,0.257,0.383,0.277,0.213,0.142,0.077
71,Auburn Gresham,0.199,0.059,0.310,0.018,0.163,0.217,0.199,0.351,0.199,0.215,0.000,0.396,0.478,0.375,0.523,0.221,0.248,0.196,0.107
72,Beverly,0.048,0.015,0.073,0.004,0.027,0.065,0.083,0.000,0.049,0.027,0.000,0.133,0.152,0.129,0.176,0.154,0.212,0.054,0.017
73,Washington Heights,0.165,0.061,0.261,0.004,0.026,0.328,0.164,0.000,0.163,0.352,0.281,0.425,0.389,0.259,0.483,0.266,0.151,0.159,0.080
74,Mount Greenwood,0.040,0.016,0.056,0.000,0.036,0.042,0.093,0.000,0.039,0.042,0.052,0.032,0.089,0.029,0.192,0.253,0.137,0.035,0.022
75,Morgan Park,0.113,0.027,0.173,0.012,0.072,0.167,0.131,0.203,0.111,0.160,0.166,0.149,0.214,0.019,0.344,0.234,0.165,0.093,0.054
76,O'Hare,0.237,0.061,0.317,0.039,0.253,0.166,0.075,0.322,0.102,0.392,0.260,0.520,0.459,0.333,0.520,0.304,0.357,0.263,0.127
77,Edgewater,0.200,0.095,0.242,0.038,0.114,0.317,0.359,0.262,0.123,0.376,0.184,0.525,0.332,0.236,0.463,0.350,0.359,0.213,0.061
