zip,breast,colo,prostate,lung,dm,htn,ashtma,copd,iscstroke,hemnstroke,chd,gun,tbi
60608,0.005887185104052574,0.0034775465498357067,0.004326396495071194,0.004107338444687842,0.11607338444687842,0.2023001095290252,0.06782584884994523,0.022042716319824754,0.01725082146768894,0.004025191675794086,0.06202081051478642,0.0024370208105147866,0.014786418400876232
60609,0.005394801373222168,0.003993554263294332,0.004413928396272682,0.005640019617459539,0.11802003783367197,0.2227282281230295,0.07650809220205983,0.024767042667974498,0.016920058852378617,0.004133678974287115,0.05895747215021369,0.0037833671968051565,0.012225881034120367
60612,0.006636651659162915,0.004235451058862765,0.0060363515090878775,0.005302651325662831,0.10185092546273136,0.24052026013006503,0.10011672502918126,0.030848757712189426,0.01887610471902618,0.003635150908787727,0.06356511589127897,0.002301150575287644,0.01810905452726363
60613,0.008537044001504325,0.002594960511470478,0.0052651372696502444,0.002933433621662279,0.03617901466716811,0.10906355772846935,0.03666792027077849,0.011470477623166603,0.011056788266265513,0.0014667168108311395,0.037081609627679576,0.0001128243700639338,0.0036479879654005266
60614,0.011654041455090318,0.0034129692832764505,0.008185576736313439,0.003745941896279031,0.03002303060573268,0.09989178390077416,0.03831959821304698,0.01276395016509892,0.011515302866339243,0.0017203585005133328,0.04400788035184106,0.00013873858875107522,0.006798190848802686
60615,0.011986381232218646,0.004943799263094072,0.0076488969730889415,0.005456835035679306,0.09225315983396297,0.2580103539946831,0.07984702206053822,0.02686441863719043,0.01800289165617275,0.002658458094305303,0.062497085024019405,0.0019122242432722354,0.007462338510330675
60616,0.012293910225864861,0.0059087010387877635,0.006194605927761365,0.007290574668826837,0.08829695987801392,0.21514342895263508,0.05241589631182693,0.023539502525493188,0.018297912894310493,0.004908033927380158,0.06399504431525779,0.0007147622224340036,0.008910702373010579
60617,0.010074331207787798,0.005395615590687847,0.008678262838169264,0.006187978719390258,0.1296834320642946,0.28189261593027204,0.07168999735878957,0.02475191487756103,0.019809078217560276,0.00339584198015319,0.07278421310795004,0.0026789420065652944,0.008338678640153944
60618,0.00817431011641345,0.0030724131127209176,0.003241536770301886,0.0028469149026129604,0.06454886264340277,0.1387659610451842,0.0385320066521972,0.011782281478140767,0.009160864785635764,0.0015503001944922063,0.043972150971051664,0.0003946218676889252,0.005017335174902049
60619,0.011610208488195108,0.00584050122119571,0.009592580793600227,0.0055927223815086195,0.12948214222505397,0.3306785600509716,0.08594386039432232,0.03072457612119925,0.021556759052776892,0.004707797954054724,0.074510636791618,0.003504300732717426,0.008672259389048175
